Date,Species,Origin,Quantity,Supplier,EmergedEarly,DOA,FTE,W,Parasite,NumberGlued,PecentEmergence
2/5/2021,Caligo memnon,COSTA RICA,55,CRES,,,3,19,,55,60.0
2/5/2021,Catonephele numilia,COSTA RICA,25,CRES,,,7,2,,25,64.0
2/5/2021,Dryas iulia,COSTA RICA,9,CRES,,,8,3,,9,-22.2
2/5/2021,Dryadula phaetusa,COSTA RICA,15,CRES,,,1,1,,15,86.7
2/5/2021,Eryphanis polyxena,COSTA RICA,10,CRES,,,,,,10,100.0
2/5/2021,Eueides isabella,COSTA RICA,10,CRES,,,,,,10,100.0
2/5/2021,Greta oto,COSTA RICA,5,CRES,,,3,,,5,40.0
2/5/2021,Hamadryas februa,COSTA RICA,10,CRES,,,1,3,,10,60.0
2/5/2021,Hamadryas feronia,COSTA RICA,15,CRES,,,1,,,15,93.3
2/5/2021,Hamadryas laodamia,COSTA RICA,15,CRES,,1,3,,,14,78.6
2/5/2021,Heliconius charitonius,COSTA RICA,15,CRES,,,7,1,,15,46.7
2/5/2021,Heliconius erato,COSTA RICA,10,CRES,,,8,,,10,20.0
2/5/2021,Heliconius hecale,COSTA RICA,15,CRES,,,,6,,15,60.0
2/5/2021,Heliconius hewitsoni,COSTA RICA,10,CRES,,,3,1,,10,60.0
2/5/2021,Heliconius ismenius,COSTA RICA,15,CRES,,,6,1,,15,53.3
2/5/2021,Heliconius melpomene,COSTA RICA,15,CRES,,,,1,,15,93.3
2/5/2021,Heliconius sapho,COSTA RICA,15,CRES,,,,,,15,100.0
2/5/2021,Heliconius sara,COSTA RICA,15,CRES,,,8,1,,15,40.0
2/5/2021,Hypna clytemnestra,COSTA RICA,20,CRES,,,9,,,20,55.0
2/5/2021,Mechanitis polymnia,COSTA RICA,10,CRES,2,2,2,2,,6,33.3
2/5/2021,Morpho peleides,COSTA RICA,105,CRES,,,6,8,,105,86.7
2/5/2021,Papilio thoas,COSTA RICA,21,CRES,,,,1,,21,95.2
2/5/2021,Parides arcas,COSTA RICA,9,CRES,,,,1,,9,88.9
2/5/2021,Parides iphidamas,COSTA RICA,15,CRES,,,1,,,15,93.3
2/5/2021,Prepona omphale,COSTA RICA,15,CRES,,,7,8,,15,0.0
2/5/2021,Siproeta epaphus,COSTA RICA,15,CRES,,,,1,,15,93.3
2/5/2021,Siproeta stelenes,COSTA RICA,30,CRES,,,1,1,,30,93.3
2/5/2021,Tithorea tarricina,COSTA RICA,15,CRES,,,6,,,15,60.0
1/29/2021,Attacus atlas,PHILIPPINES,10,LPS,,,,,,10,100.0
1/29/2021,Cethosia biblis,PHILIPPINES,10,LPS,,,,,,10,100.0
1/29/2021,Cethosia cyane,USA,30,LPS,,,,,,30,100.0
1/29/2021,Doleschallia bisaltide,PHILIPPINES,5,LPS,,,,,,5,100.0
1/29/2021,Graphium agamemnon,USA,20,LPS,,,3,,,20,85.0
1/29/2021,Graphium antheus,USA,10,LPS,,,,,,10,100.0
1/29/2021,Hebomoia glaucippe,PHILIPPINES,15,LPS,,,,2,,15,86.7
1/29/2021,Idea leuconoe,USA,30,LPS,,,2,1,,30,90.0
1/29/2021,Pachliopta kotzebuea,PHILIPPINES,10,LPS,,,,,,10,100.0
1/29/2021,Papilio lowii,USA,30,LPS,,,,2,,30,93.3
1/29/2021,Papilio memnon,USA,30,LPS,,,,1,,30,96.7
1/29/2021,Papilio nephelus,USA,30,LPS,,,,4,,30,86.7
1/29/2021,Papilio palinurus,PHILIPPINES,10,LPS,,,,1,,10,90.0
1/29/2021,Papilio rumanzovia,USA,20,LPS,,,3,4,,20,65.0
1/29/2021,Parthenos sylvia lilacinus,USA,20,LPS,,,3,4,,20,65.0
1/29/2021,Parthenos sylvia philippensis,PHILIPPINES,10,LPS,,,1,8,,10,10.0
1/29/2021,Vindula dejone,USA,10,LPS,,,2,3,,10,50.0
1/29/2021,Anteos clorinde,COSTA RICA,15,CRES,,,1,1,,15,86.7
1/29/2021,Battus belus,COSTA RICA,20,CRES,,,2,,,20,90.0
1/29/2021,Caligo atreus,COSTA RICA,15,CRES,,,1,,,15,93.3
1/29/2021,Caligo memnon,COSTA RICA,57,CRES,,,2,5,,57,87.7
1/29/2021,Catonephele numilia,COSTA RICA,25,CRES,,,,1,,25,96.0
1/29/2021,Dryas iulia,COSTA RICA,9,CRES,,,3,1,,9,55.6
1/29/2021,Dryadula phaetusa,COSTA RICA,13,CRES,,,5,2,,13,46.2
1/29/2021,Eryphanis polyxena,COSTA RICA,3,CRES,,,1,,,3,66.7
1/29/2021,Hamadryas februa,COSTA RICA,4,CRES,,,,5,,4,-25.0
1/29/2021,Hamadryas feronia,COSTA RICA,7,CRES,,,,2,,7,71.4
1/29/2021,Heliconius cydno,COSTA RICA,10,CRES,,,2,,,10,80.0
1/29/2021,Heliconius erato,COSTA RICA,12,CRES,,,,1,,12,91.7
1/29/2021,Heliconius hecale,COSTA RICA,11,CRES,,,1,2,,11,72.7
1/29/2021,Heliconius ismenius,COSTA RICA,19,CRES,,,,5,,19,73.7
1/29/2021,Heliconius melpomene,COSTA RICA,5,CRES,,,,,,5,100.0
1/29/2021,Heliconius sara,COSTA RICA,12,CRES,,,,3,,12,75.0
1/29/2021,Hypna clytemnestra,COSTA RICA,31,CRES,,,28,9,,31,-19.4
1/29/2021,Morpho peleides,COSTA RICA,94,CRES,,,1,4,,94,94.7
1/29/2021,Papilio thoas,COSTA RICA,25,CRES,,,,3,,25,88.0
1/29/2021,Parides arcas,COSTA RICA,15,CRES,,,,2,,15,86.7
1/29/2021,Parides iphidamas,COSTA RICA,8,CRES,,,1,,,8,87.5
1/29/2021,Prepona omphale,COSTA RICA,34,CRES,,,30,1,,34,8.8
1/29/2021,Siproeta epaphus,COSTA RICA,37,CRES,,,,4,,37,89.2
1/29/2021,Siproeta stelenes,COSTA RICA,55,CRES,,,2,3,,55,90.9
1/29/2021,Tithorea tarricina,COSTA RICA,8,CRES,,,5,,,8,37.5
1/22/2021,Cethosia biblis,PHILIPPINES,10,LPS,,,2,,,10,80.0
1/22/2021,Cethosia cyane,THAILAND,30,LPS,,,,,,30,100.0
1/22/2021,Doleschallia bisaltide,PHILIPPINES,10,LPS,,,,,,10,100.0
1/22/2021,Graphium agamemnon,Philippines,10,LPS,,1,,,,9,100.0
1/22/2021,Graphium antheus,USA,10,LPS,,,,,,10,100.0
1/22/2021,Hebomoia glaucippe,USA,30,LPS,,,,,,30,100.0
1/22/2021,Idea leuconoe,USA,30,LPS,,,14,8,,30,26.7
1/22/2021,Pachliopta kotzebuea,Philippines,10,LPS,,,,,,10,100.0
1/22/2021,Papilio lowii,USA,30,LPS,,,,,,30,100.0
1/22/2021,Papilio memnon,USA,30,LPS,,,,,,30,100.0
1/22/2021,Papilio nephelus,USA,30,LPS,,,1,3,,30,86.7
1/22/2021,Papilio ophidicephalus,USA,5,LPS,,,1,,,5,80.0
